concept_name,var_id,description
"上傳資料","upload_button","點擊此按鈕上傳您的評論資料檔案（支援 Excel 或 CSV 格式）"
"屬性數量","num_attributes","選擇要從評論中萃取的產品屬性數量，建議 10-15 個屬性適合一般產品"
"品牌選擇","brand_select","選擇您要分析的目標品牌"
"市場輪廓","market_profile_tab","分析市場區隔與品牌定位，識別領導品牌、利基品牌等"
"品牌DNA","dna_analysis_tab","多維度雷達圖展示品牌在各屬性上的表現"
"PCA品牌定位","pca_analysis","主成分分析(PCA)將10-30個產品屬性降維至3個主要維度，在3D空間中展示品牌相對位置。距離越近的品牌表示整體屬性表現越相似；屬性向量指向該屬性影響力最大的品牌群；散布範圍反映市場競爭的多樣性。PC1通常代表整體品質或價值，PC2代表差異化特徵，PC3代表細分市場偏好"
"理想點分析","ideal_point_analysis","採用MAMBA方式計算：每個屬性的理想點為該屬性在所有品牌中的最高分。品牌在某屬性上達到或超過理想點即得1分。總分越高表示該品牌在越多關鍵屬性上達到市場最佳表現"
"策略定位","strategy_positioning","四象限策略矩陣：訴求(右上)-高分關鍵因素為品牌優勢；改變(左上)-低分關鍵因素需急需改進；改善(右下)-高分非關鍵因素維持即可；劣勢(左下)-低分非關鍵因素為低優先級"
"市場賽道","market_track","識別高成長潛力的市場機會。X軸為成長潛力(距離理想值的差距)，Y軸為市場重要性(關鍵因素權重)。右上角為高潛力賽道值得重點投入"
"品牌識別度","brand_identity","分析品牌獨特性與市場定位。X軸為獨特性(屬性表現變異度)，Y軸為品牌實力(整體評分)。右上角為市場領導者，左上角為隱形冠軍"
"市場區隔方法","segmentation_method","選擇市場區隔的分析方法：屬性表現-根據產品屬性評分進行區隔；品牌特徵-根據品牌獨特性進行區隔；綜合分析-結合多維度資訊進行全面區隔"
"執行AI分析","run_analysis","點擊此按鈕執行AI驅動的深度分析，包含市場區隔輪廓分析、目標客群偏好分析和潛在市場機會識別。分析需要30-60秒完成"
"客群偏好","customer_preferences","基於市場區隔數據的目標客群特徵、核心需求、購買決策因素和品牌溝通策略分析"
"市場機會","market_opportunities","識別未被滿足的市場需求、競爭空白區域、高成長潛力區隔，並提供具體的市場進入策略"
